,conditional_95pct_lower,conditional_95pct_upper
roc_auc,0.8626167528612565,0.9028556783766702
average_precision,0.5552661796606416,0.6660450378710906
f1,0.4999817518248175,0.592689383366839
recall,0.514018691588785,0.6283376224363856
precision,0.47498579545454545,0.5763799440337468
children_selection_ratio,0.6446885298448575,0.971736208263274
