algorithm,k,inertia,silhouette,davies_bouldin,calinski_harabasz,smallest_cluster_n,largest_cluster_n
KMeans,2,22465.96328785414,0.21609077178761296,1.7713873837303182,656.5020082138072,1100,1136
KMeans,3,18749.472913251117,0.20682349506494374,1.6503189199075223,614.4511659425377,594,834
KMeans,4,17431.227899796606,0.18000007515377317,1.8963203258348598,496.68092760420905,388,736
KMeans,5,16552.2692453062,0.1403837159977594,2.0874047023038993,421.73364418960335,370,517
KMeans,6,15929.138572716492,0.12824904628302944,2.075541665252205,367.87881387950875,308,470
Ward,2,,0.20669704646745596,1.8003821233846289,595.1891560286567,869,1367
Ward,3,,0.18561880149230653,1.7532983436002076,558.2810190588316,522,869
Ward,4,,0.1531302565836066,2.120405163080523,438.0123092559779,398,845
