,n,tp,fp,tn,fn,selected_n,positive_n,accuracy,precision,recall,f1,specificity,false_positive_rate,roc_auc,average_precision,contact_fraction,response_prevalence,assumed_value_per_response,assumed_cost_per_contact,observed_label_profit_proxy,assumed_contact_spend,observed_label_roi_proxy,profit_caveat,cost_per_observed_responder,response_concentration_lift
Selected fairness-adjusted policy,2236,191,174,1728,143,365,334,0.8582289803220036,0.5232876712328767,0.5718562874251497,0.5464949928469242,0.9085173501577287,0.0914826498422713,0.88440626633169,0.6078593215531646,0.16323792486583183,0.14937388193202147,11.0,3.0,1006.0,1095.0,0.9187214611872146,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,5.732984293193717,3.5032072840620123
Global F1 policy,2236,198,131,1771,136,329,334,0.8805903398926654,0.601823708206687,0.592814371257485,0.5972850678733032,0.9311251314405888,0.06887486855941115,0.88440626633169,0.6078593215531646,0.14713774597495527,0.14937388193202147,11.0,3.0,1191.0,987.0,1.2066869300911853,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,4.984848484848484,4.02897548368309
Fixed top 20%,2236,231,218,1684,103,449,334,0.8564400715563506,0.5144766146993318,0.6916167664670658,0.5900383141762452,0.8853838065194533,0.11461619348054679,0.88440626633169,0.6078593215531646,0.20080500894454384,0.14937388193202147,11.0,3.0,1194.0,1347.0,0.8864142538975501,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,5.8311688311688314,3.4442206900230716
Contact everyone,2236,334,1902,0,0,2236,334,0.14937388193202147,0.14937388193202147,1.0,0.25992217898832687,0.0,1.0,0.88440626633169,0.6078593215531646,1.0,0.14937388193202147,11.0,3.0,-3034.0,6708.0,-0.4522957662492546,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,20.08383233532934,1.0
Contact nobody,2236,0,0,1902,334,0,334,0.8506261180679785,,0.0,0.0,1.0,0.0,0.88440626633169,0.6078593215531646,0.0,0.14937388193202147,11.0,3.0,0.0,0.0,,Hypothetical units and historical response labels; not measured causal uplift or realised ROI.,,
